,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
10,21,5,7,10,9,17,18,15,7,12,0,10,21,13,21,5,10,19,19,23,24,24,27,24,25,24,28,22,25,28,27,28,29,33,31,27,30,35,32,29,26,14,16,17,17,20,17,19,19,21,25,27,25,27,11,21,12,10,10,8,14,10,13,14,15,13,13,11,17,13,9,9,9,10,11,16,8,8,9
11,20,16,13,18,11,8,16,14,18,16,11,0,19,23,19,9,4,17,18,24,28,30,29,26,27,24,19,18,21,27,27,24,25,28,26,31,31,30,28,27,25,18,26,27,21,29,25,25,26,27,25,26,26,28,12,24,9,13,14,10,22,15,17,21,26,20,21,21,27,17,13,13,13,14,15,17,12,12,14
12,26,26,21,25,19,19,20,13,27,23,18,21,0,30,13,18,18,3,7,28,24,29,25,24,23,21,23,21,23,27,23,24,26,29,28,27,33,32,29,29,27,26,28,27,29,31,29,32,32,31,27,28,23,24,27,28,24,23,22,21,27,22,25,27,33,27,27,28,34,25,21,21,21,22,22,25,19,18,20
13,29,8,12,6,13,28,24,26,8,8,14,23,31,0,32,18,21,30,30,27,30,29,32,29,32,33,39,34,36,33,32,33,34,40,36,32,37,42,39,38,38,21,21,22,25,27,24,24,24,26,30,32,31,32,22,26,25,19,17,20,20,18,20,5,4,4,4,3,7,12,15,17,14,17,18,19,12,11,10
14,28,28,23,27,21,23,22,19,29,25,20,23,13,32,0,20,20,10,20,37,34,38,35,34,33,31,32,30,33,35,33,32,34,36,35,37,40,39,36,36,33,28,30,29,31,34,31,33,33,35,37,39,33,34,26,36,27,25,24,23,29,24,27,29,35,29,29,30,36,27,23,23,23,24,25,27,21,20,22
15,20,8,10,13,10,12,16,14,10,15,4,8,19,16,19,0,8,17,17,21,23,24,26,22,23,21,23,20,22,28,24,25,26,30,29,26,33,30,27,27,25,13,19,19,16,23,20,19,20,21,26,28,23,24,8,20,8,7,8,4,15,10,12,17,18,16,15,14,16,12,8,8,8,9,10,12,6,5,7
16,18,15,11,16,9,10,14,12,16,15,10,3,17,22,17,9,0,15,18,26,29,25,31,28,28,27,21,23,22,25,29,22,23,25,24,33,29,28,25,25,23,16,18,17,19,30,19,20,27,23,33,34,28,29,14,26,10,15,16,12,21,12,15,19,24,18,19,18,19,15,11,11,11,11,12,15,9,8,10
17,26,25,21,25,19,21,18,13,27,23,18,20,4,30,10,18,17,0,9,31,27,31,28,27,26,24,25,23,26,30,26,27,28,32,31,30,36,35,32,32,29,26,27,27,28,32,29,30,31,32,30,31,25,26,23,30,24,22,22,21,27,22,25,27,32,26,27,28,34,25,21,21,20,21,22,24,18,18,20
18,25,24,20,24,17,15,23,16,25,21,18,18,13,28,23,18,18,13,0,24,20,25,22,20,20,17,19,17,19,24,20,21,22,26,24,23,29,28,26,25,23,25,29,26,31,27,28,28,29,26,24,25,19,20,23,24,20,25,26,24,27,22,24,26,31,25,26,26,33,24,20,20,20,21,22,24,18,17,19
19,36,21,23,26,17,19,33,30,23,28,20,26,30,27,36,20,29,34,27,0,8,12,10,6,10,11,17,13,15,11,10,11,12,18,14,10,19,21,18,20,20,11,10,10,13,12,9,8,9,8,10,12,9,10,16,3,17,13,16,16,10,15,12,29,27,28,28,27,26,20,20,19,19,16,15,11,18,18,19
20,34,25,28,30,13,22,30,29,27,32,25,23,27,31,34,25,27,27,21,9,0,6,4,7,7,8,12,10,9,5,5,6,7,12,8,4,13,15,12,13,14,14,14,14,14,10,12,12,12,10,4,6,6,4,20,9,22,17,20,21,14,19,16,34,30,33,33,31,30,23,23,23,22,21,20,15,22,22,23
21,36,23,26,28,18,28,35,30,25,31,23,28,32,29,36,24,25,32,20,10,8,0,8,10,11,12,18,14,15,10,11,12,13,17,11,8,13,15,12,13,14,9,9,9,10,7,7,6,6,5,7,8,10,9,19,11,23,16,19,20,13,14,11,31,26,30,30,28,25,19,19,18,18,16,15,10,19,19,20
22,35,27,29,32,14,24,32,30,29,34,26,25,28,32,36,27,28,29,22,11,7,5,0,9,8,10,14,11,11,6,7,8,9,14,9,4,11,13,11,12,12,12,12,13,12,8,11,11,11,10,4,7,8,5,22,11,23,20,22,23,16,18,14,34,29,33,33,32,28,22,22,21,21,19,18,14,22,23,23
23,36,20,23,25,14,18,33,30,22,27,20,26,27,26,35,20,24,28,21,4,4,9,7,0,7,8,13,10,11,8,7,8,9,15,11,7,16,18,15,17,17,10,9,9,14,12,8,8,8,7,7,9,6,7,15,4,17,12,15,16,9,14,12,29,27,28,27,26,26,20,20,19,18,16,15,10,17,17,18
24,29,26,24,31,10,17,25,24,28,33,23,24,22,32,29,21,22,22,16,11,8,12,9,7,0,4,9,4,4,9,5,6,7,14,13,9,17,19,17,18,15,18,16,17,18,14,17,17,16,15,11,10,6,7,16,11,17,16,18,18,17,22,19,34,34,33,32,31,33,27,27,28,27,23,22,18,25,25,25
25,32,23,26,28,10,19,29,27,25,30,23,26,25,29,33,23,25,26,19,7,3,8,4,3,5,0,9,8,7,6,3,4,5,11,10,6,13,15,12,14,14,14,12,12,14,10,12,12,11,10,6,7,2,3,18,7,19,15,18,19,12,17,15,32,30,31,30,29,29,23,23,22,22,19,18,13,20,20,21
26,31,31,27,31,8,16,28,26,32,28,28,20,25,35,35,24,23,25,19,18,14,19,15,14,12,13,0,13,9,17,11,12,13,18,16,15,24,23,21,20,18,25,23,23,25,21,23,22,23,22,17,16,13,14,25,18,20,24,25,25,23,28,26,33,38,32,33,33,40,34,31,27,27,30,29,24,25,28,26
27,28,25,23,27,10,17,24,23,27,33,22,18,21,31,29,20,21,22,15,11,8,12,9,7,4,4,9,0,4,10,6,7,8,14,13,9,17,19,17,18,14,18,16,17,18,14,17,17,16,15,11,11,6,7,15,11,16,16,17,17,17,21,20,33,33,32,32,32,33,27,27,26,26,23,22,18,24,25,25
28,30,25,28,30,9,19,27,25,28,33,24,25,23,32,33,22,23,24,17,9,6,10,7,5,3,4,8,6,0,7,3,4,5,12,10,6,15,17,15,16,14,16,15,15,16,12,14,14,14,13,9,8,4,5,17,9,18,18,19,19,15,20,17,34,32,33,33,32,31,25,25,24,25,21,20,16,23,23,23
29,32,27,29,32,9,21,29,27,29,34,26,22,25,33,36,24,25,26,20,11,7,11,7,7,6,5,8,8,5,0,1,2,3,9,6,5,14,16,13,14,13,16,16,16,16,12,15,15,15,13,9,6,6,6,19,11,20,19,22,21,16,22,19,36,33,35,34,33,32,26,26,26,25,23,23,18,24,24,25
30,33,27,30,32,10,21,29,28,29,35,27,22,26,34,36,25,25,26,20,11,7,12,9,7,6,7,9,9,6,4,0,1,2,9,8,8,16,17,16,16,13,18,16,17,18,14,16,16,16,15,10,8,6,7,20,11,20,20,22,22,16,21,19,37,34,36,35,34,33,27,27,27,25,23,22,18,24,25,25
31,32,27,29,32,9,21,29,27,29,34,26,22,25,33,35,24,25,26,19,11,7,11,8,7,5,6,8,9,5,3,4,0,1,9,7,6,15,17,14,15,13,17,16,16,17,13,16,16,15,14,10,7,5,6,19,10,20,19,22,21,16,21,18,36,34,35,35,33,33,26,26,25,26,22,22,17,24,24,25
32,33,28,31,33,11,22,29,29,30,36,28,29,27,35,37,26,26,27,21,12,8,13,10,8,7,7,10,10,7,5,5,1,0,9,7,7,16,17,15,16,15,19,17,18,19,15,17,17,17,16,11,9,7,8,21,12,22,21,23,23,17,22,20,37,35,36,36,34,34,28,28,28,26,24,23,19,25,26,26
33,33,34,28,39,14,23,30,28,36,30,31,26,29,40,34,28,26,30,23,18,14,18,15,14,12,13,14,12,10,10,11,7,8,0,7,12,19,20,16,16,14,24,24,24,24,20,22,22,22,20,16,14,13,13,24,18,24,24,26,26,23,29,26,34,41,34,34,39,40,33,33,33,32,31,30,25,31,31,32
34,34,32,35,37,15,23,31,29,34,39,32,28,31,38,35,30,31,31,25,16,10,12,10,12,11,11,14,14,11,6,7,7,9,6,0,7,11,13,10,12,11,18,18,18,18,14,16,17,17,15,11,8,11,9,25,16,26,24,27,28,21,23,20,40,35,39,39,37,34,28,28,27,27,25,24,20,28,28,29
35,34,26,28,31,13,22,30,28,28,33,26,23,27,31,34,25,26,27,21,11,6,6,3,7,7,8,12,10,10,5,5,6,7,12,7,0,11,13,10,11,11,12,11,12,11,7,10,10,11,8,4,5,6,4,21,11,21,20,22,23,16,17,14,33,28,32,32,31,27,21,21,21,20,18,18,13,22,22,22
36,38,30,32,35,20,26,34,32,32,37,29,31,33,35,38,32,31,34,27,19,13,11,11,15,14,17,22,17,17,12,13,13,15,14,10,11,0,4,4,4,9,17,17,17,17,13,15,14,15,14,12,12,14,13,28,19,29,26,29,29,21,21,18,37,34,36,36,35,33,25,25,25,24,22,22,17,25,26,26
37,35,32,35,37,23,27,32,30,34,39,32,28,31,37,36,28,29,32,25,23,17,15,14,19,18,20,20,21,15,14,15,16,18,17,12,14,5,0,4,2,6,18,18,18,21,17,16,16,17,17,14,14,17,15,30,23,30,29,30,31,25,23,20,40,35,39,38,37,34,28,28,27,26,25,24,19,28,28,29
38,36,32,35,37,21,28,32,31,35,33,32,33,32,38,36,29,29,32,26,21,15,13,12,17,16,18,22,19,17,13,14,14,16,15,10,12,5,3,0,2,6,19,19,20,19,15,18,18,18,16,12,12,16,13,30,21,31,28,31,32,24,23,20,40,35,39,39,37,34,28,28,27,27,25,24,20,28,28,29
39,36,34,36,39,21,28,32,30,36,32,33,29,31,39,36,29,29,32,25,20,15,13,12,16,16,17,20,19,17,12,14,14,15,14,10,12,5,4,2,0,6,19,19,19,19,15,17,17,17,16,12,12,15,13,30,20,31,28,31,31,23,24,21,41,36,40,40,39,35,29,29,28,28,26,25,21,29,30,30
40,36,36,31,41,20,30,32,31,38,33,36,29,32,41,36,34,29,32,26,23,17,15,14,19,18,20,21,21,16,15,15,16,18,17,12,14,8,7,4,2,0,21,21,22,21,17,20,20,20,18,14,14,18,15,32,22,33,30,33,34,26,27,24,44,38,42,42,41,37,31,31,31,30,28,28,23,32,32,32
41,28,17,19,22,24,28,26,22,19,24,16,21,28,21,28,18,17,26,31,12,17,12,16,17,20,20,23,20,21,18,19,18,21,25,20,16,19,23,21,22,22,0,4,4,6,9,5,7,8,10,14,16,19,17,18,11,22,15,16,19,8,7,3,23,18,22,22,20,17,11,11,10,10,9,8,4,13,13,14
42,29,17,19,22,22,24,26,24,19,24,16,21,29,22,29,20,18,27,33,10,14,9,13,14,17,18,21,20,20,15,16,17,18,22,17,13,17,20,18,19,19,2,0,1,6,7,4,4,5,7,11,13,16,14,16,9,20,13,16,17,8,8,4,24,19,23,23,22,18,12,12,12,11,9,8,4,12,13,13
43,29,16,19,21,24,26,26,23,18,24,16,21,29,22,29,19,18,27,31,12,15,10,14,15,18,19,24,21,22,16,17,18,19,23,18,14,17,21,19,21,20,2,4,0,6,7,4,6,6,8,12,14,17,15,18,11,22,15,16,19,7,7,4,24,19,23,23,21,18,12,12,11,11,9,8,4,12,12,13
44,32,21,24,25,24,30,29,31,24,28,21,26,31,24,32,25,21,34,32,16,15,10,14,16,18,20,23,22,23,16,18,18,20,23,18,14,17,21,19,20,20,7,9,8,0,7,6,8,9,9,12,14,17,15,21,15,25,19,21,22,12,10,8,27,22,26,25,24,21,14,15,15,14,12,11,8,18,18,18
45,35,23,25,28,19,29,32,30,25,30,22,27,33,28,35,25,24,33,27,14,13,7,9,14,13,14,18,16,15,11,12,12,14,18,13,9,10,14,14,14,15,8,8,9,6,0,7,7,7,7,8,9,12,10,20,13,24,18,20,21,13,14,11,30,25,29,29,28,24,18,18,18,17,15,14,10,18,19,19
46,31,18,21,23,21,24,28,36,20,26,18,22,34,24,31,21,20,35,28,10,12,7,11,11,14,15,20,17,18,13,14,15,16,20,14,11,16,18,15,17,17,4,4,4,7,6,0,2,3,4,8,11,13,12,16,9,20,13,16,17,8,9,6,26,21,25,25,23,20,14,14,13,13,11,10,5,14,14,15
47,33,20,23,25,19,25,30,27,22,27,20,27,32,26,33,21,30,33,26,8,10,5,9,9,12,13,18,15,16,11,12,13,14,18,12,9,14,16,13,15,15,6,6,6,7,5,4,0,4,2,6,9,12,10,17,8,20,14,17,17,10,11,8,28,23,27,26,25,22,16,16,15,15,13,12,7,16,16,17
48,35,21,24,26,21,26,32,29,23,29,21,28,34,27,35,22,31,35,28,10,12,7,10,11,14,15,22,17,18,12,14,15,16,19,14,10,16,18,15,17,16,8,7,8,9,7,6,2,0,4,8,11,13,12,17,9,21,15,17,18,11,13,10,30,25,29,28,27,24,17,18,17,16,15,14,9,18,19,19
49,36,22,24,27,18,24,35,39,24,29,21,26,31,28,45,22,31,32,25,8,9,7,10,9,11,12,18,14,15,12,11,12,13,20,15,12,18,19,17,18,18,10,8,9,11,9,8,5,5,0,10,13,10,11,18,7,22,15,18,18,11,14,11,30,26,29,29,27,25,19,19,18,18,16,15,11,19,19,20
50,38,27,28,31,16,26,33,32,29,33,25,27,30,30,37,26,30,31,24,11,7,3,3,11,10,12,15,13,13,8,9,10,11,16,10,5,12,14,12,13,12,11,11,12,11,7,10,9,9,7,0,6,9,7,22,11,26,19,22,23,15,17,13,33,28,32,32,31,27,21,21,20,20,18,17,13,21,22,22
51,34,26,29,31,13,23,31,29,28,34,26,24,27,32,37,26,27,28,21,12,6,7,4,8,7,9,12,10,9,4,5,6,7,11,6,1,11,13,11,12,12,12,12,12,12,8,11,11,11,9,5,0,7,4,21,12,22,20,23,23,16,17,14,34,29,33,33,31,28,22,22,21,21,19,18,14,22,22,23
52,37,21,24,26,15,18,30,31,23,29,21,25,26,28,36,21,25,27,20,5,5,8,6,1,7,6,14,9,10,8,7,8,9,16,11,8,16,18,16,17,17,11,10,11,15,14,9,9,10,9,6,9,0,7,16,5,18,14,16,17,10,15,13,30,28,29,29,27,27,21,21,20,19,17,16,12,18,19,19
53,33,24,26,29,12,20,29,28,26,31,23,26,26,30,33,23,25,26,20,8,2,9,6,4,6,5,11,9,9,6,4,5,6,13,10,6,14,16,13,15,15,15,13,13,15,11,13,12,12,11,7,8,2,0,18,7,19,16,19,20,13,18,15,33,31,31,31,29,30,23,24,22,22,19,19,14,21,21,22
54,28,15,18,20,15,10,24,21,17,22,12,15,27,22,27,10,18,25,21,12,16,20,17,14,14,13,19,12,14,19,15,16,18,22,20,19,26,28,25,25,23,19,17,17,20,19,16,15,16,18,19,20,14,16,0,12,7,5,7,7,14,17,19,25,23,24,24,22,24,20,16,16,16,17,17,18,14,13,15
55,34,18,21,23,16,19,31,28,20,26,18,24,33,25,34,18,27,32,27,3,6,10,9,6,9,10,15,12,12,10,8,9,10,17,13,9,18,20,17,18,21,9,7,8,11,10,7,6,7,6,11,11,8,9,13,0,17,11,13,14,8,12,11,27,25,26,26,25,24,18,18,18,17,14,13,9,15,16,16
56,26,17,20,22,19,5,22,23,19,24,13,12,25,22,28,11,15,26,19,17,20,25,22,19,19,17,18,16,19,24,20,21,22,27,25,23,30,32,29,29,27,24,23,22,25,24,21,20,21,22,24,25,19,20,7,18,0,9,10,7,18,18,20,24,24,23,23,22,25,21,16,17,16,17,18,22,14,14,15
57,25,10,13,15,18,12,22,19,13,18,10,14,24,17,25,7,17,23,24,13,16,17,18,16,18,16,22,15,17,19,18,19,20,25,24,19,26,28,25,26,26,15,14,14,16,15,12,12,12,14,18,20,18,18,3,12,7,0,4,4,10,13,15,19,19,18,18,17,19,15,11,11,11,12,13,14,9,8,12
58,26,11,14,16,16,13,23,20,14,19,11,15,25,18,26,9,18,24,25,15,18,19,22,19,19,18,23,16,19,21,20,21,22,27,25,21,28,30,27,29,28,16,15,16,20,18,14,14,14,16,20,23,19,21,5,15,9,2,0,5,11,14,16,20,20,19,19,18,20,16,12,12,12,13,14,15,10,9,13
59,22,10,13,15,12,10,19,16,13,18,7,11,22,15,22,4,11,20,20,17,19,20,22,18,19,17,23,16,18,24,20,21,22,26,25,22,29,31,28,30,27,18,16,17,20,19,15,15,16,17,21,24,19,20,4,16,6,3,5,0,13,11,13,17,17,16,16,14,18,14,9,10,9,10,11,13,7,7,8
60,33,12,14,17,23,22,24,21,14,19,11,16,26,18,27,15,16,25,25,12,14,13,16,14,16,17,23,19,20,17,16,17,18,24,20,16,22,24,21,23,22,6,6,6,11,12,8,8,8,10,14,17,15,16,15,10,18,11,10,13,0,9,6,21,19,20,19,18,19,15,12,11,10,10,10,4,9,9,9
61,27,15,20,18,18,23,22,19,16,20,12,14,25,18,25,14,14,23,23,16,18,16,20,18,21,22,27,24,24,22,20,21,22,29,24,20,23,27,25,26,26,6,8,7,10,13,9,11,12,13,18,20,20,21,20,15,23,17,15,17,11,0,5,20,16,19,18,17,16,10,7,6,5,2,1,5,9,9,10
62,28,16,19,19,26,24,23,20,17,22,13,20,26,19,26,17,15,24,27,14,19,14,18,16,19,20,25,22,22,20,18,19,20,27,22,18,21,25,22,24,24,4,6,5,9,11,7,9,10,11,16,18,18,19,20,13,23,17,16,19,9,4,0,21,17,20,20,18,17,11,8,7,7,6,5,2,10,10,11
63,25,10,11,6,13,28,21,28,9,4,15,24,29,5,34,19,22,32,26,29,32,31,34,32,34,35,36,36,38,35,34,35,36,43,38,35,36,42,39,41,40,24,24,24,26,29,27,26,27,28,32,35,33,34,24,29,26,21,20,23,22,20,23,0,7,1,1,3,9,15,19,19,17,20,20,22,14,13,12
64,32,11,15,12,16,29,27,28,11,12,17,26,33,6,33,21,22,31,34,29,32,32,35,32,35,35,41,36,38,37,34,35,37,42,39,35,36,40,38,39,39,20,22,21,25,26,23,27,27,29,33,36,34,34,25,29,28,22,20,23,22,17,19,8,0,8,8,8,3,11,14,16,15,16,17,19,14,14,13
65,25,9,10,5,12,26,21,27,8,5,14,22,32,4,32,18,25,30,29,28,31,30,33,30,33,34,35,35,37,34,33,34,35,41,37,33,35,41,38,40,39,23,23,23,27,28,26,25,25,27,31,33,32,33,23,27,24,20,18,21,21,19,22,1,6,0,1,2,8,14,17,18,15,18,19,20,13,12,11
66,25,8,10,4,12,26,20,26,8,4,13,22,32,4,32,18,25,30,29,27,30,29,33,30,33,34,35,34,36,34,32,33,34,41,37,33,35,40,38,39,39,22,22,23,27,28,25,24,25,27,31,33,32,33,23,27,24,20,18,21,20,19,21,1,6,1,0,1,8,13,17,17,15,18,19,20,13,12,11
67,26,7,8,3,10,25,21,25,6,5,12,20,30,3,31,16,23,29,28,26,29,28,32,29,31,32,33,33,35,33,31,32,33,40,35,32,34,39,36,38,38,21,21,21,25,27,24,23,24,25,29,32,30,31,21,26,23,18,17,20,19,17,20,3,6,2,1,0,8,12,16,16,14,17,17,19,11,11,9
68,32,11,14,12,16,32,26,26,10,13,16,25,31,7,31,20,20,29,30,27,30,30,33,30,33,34,38,34,35,35,32,33,34,40,37,31,34,38,35,37,37,18,22,18,22,24,21,25,26,27,31,34,32,33,25,27,27,22,20,23,20,15,17,10,3,9,9,9,0,9,12,13,12,14,15,17,12,12,11
69,25,12,16,14,18,23,24,21,11,16,15,24,27,11,27,16,16,25,23,25,24,22,26,27,31,28,33,30,31,28,26,28,29,35,30,26,29,33,31,32,32,12,14,14,17,19,16,17,18,24,24,26,30,27,22,24,24,19,17,19,17,9,11,14,9,13,12,11,8,0,7,8,6,8,9,11,10,9,8
70,25,13,17,16,17,21,22,19,14,18,12,14,25,15,25,14,14,23,26,20,25,20,23,22,25,28,31,28,28,25,24,25,26,32,27,24,23,27,28,27,29,10,12,11,14,16,13,15,16,17,21,24,26,24,20,19,21,14,15,16,15,7,9,18,13,16,16,15,13,7,0,2,4,6,7,9,9,9,8
71,24,14,18,17,17,21,22,19,15,19,12,14,25,16,25,14,14,23,26,20,25,20,23,22,25,26,31,28,28,25,24,25,26,32,27,24,23,27,26,27,29,10,12,11,15,16,13,15,16,17,21,24,24,24,20,19,22,14,15,15,15,7,9,19,15,18,17,16,15,7,2,0,4,6,7,9,9,9,9
72,27,10,15,13,17,25,22,19,11,15,13,14,25,12,25,14,14,23,23,20,23,21,24,23,25,26,32,28,29,26,25,26,27,33,28,24,27,32,29,30,30,11,13,12,15,17,14,16,16,18,22,24,24,25,16,19,22,17,15,16,14,7,10,14,10,13,13,12,10,4,5,6,0,7,7,10,6,5,4
73,28,14,18,17,17,20,21,19,15,20,11,13,24,17,24,13,13,22,22,18,20,18,21,20,23,24,29,26,26,23,22,23,24,30,25,22,25,29,26,28,27,8,10,9,12,14,11,13,14,15,19,22,22,22,19,17,22,13,15,14,13,2,7,19,15,18,18,16,15,9,6,5,5,0,2,7,8,8,9
74,28,15,20,19,18,21,22,20,16,21,13,14,25,18,25,14,14,23,26,17,19,17,21,19,22,23,28,25,25,23,21,22,24,30,25,21,24,28,26,27,27,7,9,8,11,14,10,12,13,14,19,21,21,22,20,16,23,14,16,17,13,1,6,20,16,19,19,17,16,10,7,6,6,2,0,6,9,9,10
75,27,15,18,20,26,26,24,21,17,23,15,19,27,20,27,20,16,25,33,14,16,14,18,16,19,20,25,22,22,20,18,19,21,27,22,18,20,25,23,24,24,5,7,6,7,11,8,9,10,11,16,18,18,19,19,13,22,16,15,18,8,4,1,22,17,13,20,19,16,10,9,8,8,6,5,0,11,11,12
76,24,7,11,11,13,23,20,17,9,14,9,12,23,11,23,13,12,21,21,19,22,20,24,22,24,25,32,26,28,26,24,25,26,33,28,24,27,32,29,30,30,11,13,12,15,17,14,16,16,18,22,24,23,24,14,19,19,13,11,14,12,7,10,13,11,12,12,10,11,9,7,6,6,7,7,10,0,1,2
77,30,7,11,12,13,23,25,20,9,15,9,18,26,12,26,13,15,24,24,21,26,23,26,23,26,28,33,28,30,27,26,27,28,34,30,26,31,34,31,32,32,15,15,16,19,21,18,18,18,20,24,26,25,26,16,20,18,13,11,14,13,12,14,14,14,13,13,11,14,12,11,10,10,11,12,13,6,0,4
78,29,6,10,10,12,22,19,17,8,13,9,11,22,10,22,13,11,20,20,18,21,20,24,21,24,25,30,25,27,25,23,24,25,32,28,24,28,32,29,30,30,11,13,12,16,18,14,15,16,17,22,24,23,23,13,18,18,12,11,14,11,8,10,12,11,11,10,9,11,9,7,7,6,7,8,10,3,3,0
